account_length,international_plan,voice_mail_plan,number_vmail_messages,total_charge,total_calls_cnt,total_minutes,total_intl_charge,number_customer_service_calls,churn
116,no,no,0,62.23,295,582.0,2.38,2,no
62,no,yes,33,61.68,323,674.0999999999999,3.0,2,yes
90,no,no,0,48.28,283,603.3,2.92,0,no
98,no,no,0,53.29,278,567.3,1.62,2,no
73,no,no,0,53.33,325,501.7,4.86,1,no
107,yes,no,0,65.15,260,687.6,3.02,2,no
55,no,yes,20,53.519999999999996,310,558.0999999999999,3.38,2,no
76,no,yes,22,42.6,345,351.99999999999994,2.57,3,no
30,no,no,0,53.98,322,582.8,1.92,3,no
157,no,no,0,55.09,345,505.1,3.11,4,no
40,no,yes,31,55.040000000000006,254,479.5,2.03,1,yes
72,no,no,0,46.12,262,472.20000000000005,2.84,1,no
95,no,yes,39,71.28,338,669.8000000000001,2.73,1,no
42,no,no,0,47.470000000000006,300,477.2,2.43,0,no
86,no,no,0,60.21,290,649.6,1.46,1,no
131,no,no,0,64.64,313,616.5,2.92,0,no
74,no,no,0,60.730000000000004,287,638.0,2.35,0,no
81,yes,yes,37,74.98,321,772.5999999999999,2.13,1,no
81,no,no,0,56.66,282,604.0,3.56,4,no
28,no,no,0,43.150000000000006,282,509.1,2.24,6,yes
111,no,no,0,53.849999999999994,324,527.8,3.02,0,no
3,no,yes,27,44.85,287,592.5,3.08,2,no
51,no,no,0,76.28999999999999,361,758.5,2.59,1,yes
68,no,yes,24,61.400000000000006,305,628.5999999999999,3.97,1,no
163,no,no,0,72.55,267,684.5,2.59,0,yes
87,no,no,0,53.0,227,623.7,3.54,2,no
58,no,no,0,48.63,281,582.7,3.75,0,yes
109,no,no,0,50.17,365,526.3,3.11,0,no
111,no,no,0,70.23,301,733.1,2.81,4,no
144,no,no,0,38.589999999999996,264,359.4,4.05,2,no
135,no,no,0,75.21000000000001,294,715.2,2.27,5,yes
107,no,yes,14,45.169999999999995,297,508.8,2.03,1,no
149,no,no,0,51.96,291,487.8,2.08,2,no
56,no,no,0,65.41,344,583.2,1.19,1,no
129,no,no,0,48.59,284,593.5,2.84,0,no
92,no,no,0,67.99,329,629.9,2.46,0,no
67,no,yes,30,55.21,304,659.6,3.92,1,no
120,no,no,0,65.39,284,600.4000000000001,2.51,0,no
166,no,no,0,61.900000000000006,326,604.6,3.35,1,no
66,no,no,0,45.47,312,534.2,2.48,1,no
76,no,no,0,56.27,285,541.1999999999999,2.27,0,no
79,no,no,0,66.61,388,678.1,2.38,2,no
98,no,yes,31,60.260000000000005,333,638.5999999999999,3.48,2,no
141,no,yes,22,71.78,310,704.6,2.11,1,no
46,no,no,0,58.22,278,584.9,2.75,3,no
137,no,no,0,41.34,274,476.8,1.97,3,no
171,no,no,0,71.66000000000001,292,636.5,2.59,1,yes
10,no,no,0,61.010000000000005,332,602.6999999999999,3.48,1,no
88,no,no,0,42.400000000000006,302,537.0,2.38,3,no
89,no,no,0,51.279999999999994,291,526.2,2.92,2,no
82,no,no,0,59.339999999999996,281,629.4000000000001,2.86,3,yes
139,no,no,0,56.02,373,535.0,2.65,3,no
87,no,no,0,54.28,340,547.2,3.73,0,no
137,yes,no,0,55.019999999999996,336,596.0,3.08,2,no
45,no,no,0,37.57,327,450.09999999999997,2.0,1,yes
90,no,no,0,59.33,281,614.2,2.4,1,no
103,no,no,0,55.29,306,610.7,1.73,1,no
100,no,no,0,57.910000000000004,321,475.40000000000003,1.97,2,no
110,no,no,0,50.519999999999996,292,461.79999999999995,1.7,3,no
124,no,no,0,56.83,286,486.40000000000003,3.19,2,no
10,no,no,0,58.660000000000004,253,604.2,2.35,2,no
89,no,yes,29,68.35,363,820.2,2.03,2,no
121,no,no,0,58.160000000000004,308,528.0,2.08,2,no
101,no,no,0,66.44999999999999,281,630.7,1.65,3,no
103,no,yes,31,54.94,341,530.1,3.92,2,no
51,no,no,0,60.010000000000005,258,587.4,2.4,1,no
2,yes,no,0,42.940000000000005,249,463.6,2.46,2,yes
111,no,no,0,62.5,346,638.9,2.51,0,no
118,no,no,0,51.72,319,556.1999999999999,3.4,2,no
193,no,no,0,38.03,310,449.5,2.94,2,yes
114,no,no,0,61.449999999999996,346,642.0999999999999,2.73,1,no
185,no,yes,29,53.440000000000005,300,550.1999999999999,3.73,2,no
101,no,no,0,62.839999999999996,288,610.8,2.05,3,no
95,no,yes,32,62.86,290,599.1,2.84,3,no
7,no,yes,30,62.85,335,634.2,2.92,1,no
126,no,no,0,77.6,298,682.8000000000001,2.16,1,yes
71,no,no,0,55.03,343,492.7,3.05,0,no
124,no,no,0,69.34,254,651.8,3.0,3,no
97,yes,no,0,64.52,332,635.5,1.97,0,yes
28,no,no,0,54.870000000000005,326,583.0999999999999,2.51,2,no
90,yes,no,0,49.96,304,502.8,2.48,4,yes
190,no,no,0,56.58,288,599.4,3.97,1,no
31,no,yes,28,67.95,312,702.6,3.11,1,no
73,no,no,0,57.87,219,498.29999999999995,2.86,0,no
111,no,no,0,72.63,293,684.2,2.27,0,yes
98,no,no,0,21.09,218,326.7,1.84,4,yes
106,yes,no,0,46.879999999999995,241,503.4,2.89,1,yes
111,no,no,0,64.88999999999999,341,646.7,2.78,0,no
59,no,no,0,55.66,276,628.6,3.21,1,no
71,no,yes,22,47.8,311,524.4,1.51,2,no
55,no,no,0,78.58,370,747.3,4.0,0,yes
13,no,no,0,39.37,300,479.59999999999997,3.21,1,no
136,no,yes,16,42.699999999999996,329,518.8000000000001,3.54,0,no
123,no,no,0,49.14,316,581.6,2.97,0,no
105,no,no,0,51.4,283,533.9,3.46,2,no
50,no,yes,31,80.63000000000001,315,737.1,3.67,3,no
97,no,no,0,51.59,253,527.5,3.46,3,no
51,no,no,0,66.09,321,665.0,4.02,0,no
73,no,no,0,68.26,277,715.7,2.78,1,yes
35,no,no,0,37.75,317,383.8,3.54,2,no
64,no,no,0,66.12,248,690.2,3.67,1,no
63,no,no,0,35.51,305,360.3,2.67,3,no
117,no,yes,31,49.88,344,605.9,2.08,3,no
115,no,no,0,75.11999999999999,296,765.9,3.7,1,yes
162,no,no,0,58.529999999999994,295,589.0,3.13,1,no
89,no,no,0,40.59,286,493.9,3.32,3,no
94,yes,no,0,64.28999999999999,331,601.0,2.32,1,no
129,no,no,0,58.370000000000005,286,547.2,3.11,4,no
86,no,no,0,58.050000000000004,327,529.8,1.97,1,no
96,no,no,0,56.22,397,606.3,1.78,1,no
190,no,no,0,59.22,308,620.0,2.4,1,no
80,no,no,0,42.48,253,487.5,2.21,1,no
108,no,no,0,44.9,308,514.6,1.11,4,yes
97,no,yes,32,56.46,321,586.1,2.3,0,no
84,no,yes,42,67.44,336,736.0,3.05,0,no
65,no,no,0,75.17,369,772.9000000000001,1.13,4,yes
58,yes,yes,43,56.129999999999995,301,608.5,2.4,1,no
36,no,no,0,63.11,357,635.1,2.75,3,no
54,no,no,0,40.11,343,457.4,3.24,1,no
45,no,no,0,57.24999999999999,311,608.2,2.97,1,no
72,no,yes,21,51.68000000000001,314,533.6,2.21,2,no
141,no,no,0,32.65,306,437.4,2.73,3,no
20,no,yes,35,49.620000000000005,350,490.20000000000005,1.92,0,no
94,no,no,0,60.88,231,611.6999999999999,4.13,1,no
40,no,no,0,35.370000000000005,309,351.0,2.51,1,no
101,no,no,0,73.14,278,691.5,1.22,3,yes
170,no,no,0,68.77,326,640.9,2.46,0,no
105,no,no,0,67.92999999999999,292,639.2,3.51,1,no
103,no,no,0,50.7,296,496.6,3.29,0,no
140,yes,yes,27,54.69,326,547.5,3.11,4,no
101,no,no,0,23.93,214,360.9,1.94,1,no
98,no,yes,19,49.11,268,581.9,2.97,1,no
104,no,no,0,56.839999999999996,322,602.6999999999999,3.16,4,no
115,no,no,0,47.14,279,505.3,0.0,3,no
70,no,no,0,65.23,264,674.7,1.54,1,no
126,no,no,0,47.269999999999996,284,475.6,2.86,0,no
87,no,yes,39,40.47,264,470.6,2.57,3,no
125,no,no,0,42.32,309,464.5,2.38,4,yes
86,no,no,0,54.879999999999995,342,631.1,2.4,1,no
73,no,yes,31,46.089999999999996,294,568.0,3.19,6,yes
232,no,no,0,50.12,296,479.8,3.19,1,no
133,no,no,0,57.31,263,634.5999999999999,3.29,1,no
103,no,no,0,52.230000000000004,290,526.9,2.08,1,no
131,no,yes,24,52.400000000000006,259,579.7,2.54,1,no
95,no,yes,20,57.45,263,624.5999999999999,2.65,0,no
182,no,no,0,55.370000000000005,330,585.7,2.62,1,no
99,no,no,0,50.71,298,549.9,2.46,0,no
141,no,no,0,37.11,257,424.3,2.89,1,no
29,yes,yes,37,61.82,286,558.1,1.54,2,no
65,no,no,0,38.14,300,428.0,1.78,2,no
81,yes,no,0,49.66,263,535.8,4.83,3,yes
37,no,yes,20,72.88,293,691.9,2.81,0,no
107,no,yes,31,57.849999999999994,224,643.4000000000001,1.51,1,no
127,yes,yes,28,36.74,380,408.20000000000005,2.81,1,no
78,no,no,0,51.89000000000001,298,588.8,3.16,0,no
55,no,no,0,50.05,357,573.8,1.24,2,no
86,no,yes,30,50.839999999999996,299,618.0999999999999,2.65,2,no
176,no,no,0,63.91,293,570.9,2.59,2,no
96,yes,no,0,63.13,332,588.4,3.02,2,no
11,no,yes,38,62.870000000000005,293,639.4,1.89,1,no
48,no,yes,34,66.73,262,689.6,2.05,1,no
127,no,no,0,62.980000000000004,338,618.6,3.05,1,no
79,no,no,0,61.14,278,574.1,3.29,1,no
83,no,yes,26,64.45,296,594.7,2.92,1,no
60,no,no,0,64.7,342,663.9,4.08,2,no
122,no,no,0,52.4,362,568.6999999999999,2.32,0,no
136,no,no,0,49.06,281,480.6,1.35,1,no
172,no,yes,47,73.61999999999999,343,706.5,2.38,1,no
79,no,no,0,62.62,263,644.1,2.4,3,no
55,no,yes,8,69.39999999999999,312,771.5,2.62,1,no
111,no,yes,28,41.9,232,433.5,2.78,2,no
160,no,no,0,54.129999999999995,343,566.4000000000001,2.24,0,no
110,no,no,0,63.31,336,588.9,2.11,4,no
192,no,no,0,69.44,234,674.1999999999999,3.43,4,no
93,no,no,0,43.9,291,461.7,2.94,0,no
77,no,no,0,48.849999999999994,324,548.6,3.32,2,no
105,no,yes,40,60.11,336,574.6,2.19,2,no
133,no,yes,44,57.459999999999994,280,607.5,3.81,2,yes
131,no,no,0,58.49,251,700.2,1.78,1,no
118,no,no,0,44.43,334,509.1,1.59,1,no
125,no,no,0,51.870000000000005,291,585.3,2.32,1,no
95,no,no,0,59.21,260,599.3,4.35,0,no
80,no,no,0,55.19,323,536.9,2.51,3,no
145,no,no,0,37.55,274,489.6,2.7,0,no
37,no,no,0,55.34,340,490.9,2.19,2,no
87,no,no,0,55.05,238,595.9000000000001,2.05,1,no
195,no,no,0,37.74,295,467.4,1.38,0,no
123,no,yes,27,58.89,273,555.9000000000001,4.05,0,no
41,no,yes,41,52.120000000000005,289,460.3,1.59,1,no
76,yes,no,0,76.30000000000001,271,702.1000000000001,3.24,1,yes
86,yes,no,0,70.0,315,654.6,2.78,1,no
140,no,no,0,43.730000000000004,239,519.1,4.4,0,no
70,no,no,0,32.41,326,356.3,4.27,3,no
121,no,yes,35,59.6,254,610.2,1.59,0,no
112,no,no,0,62.74999999999999,329,661.3,2.65,1,no
118,no,no,0,68.91999999999999,308,649.5,2.62,2,no
66,no,yes,16,63.17,295,712.1999999999999,2.4,1,no
129,no,yes,34,54.61,309,527.4,4.0,2,no
6,no,no,0,58.839999999999996,313,543.0,2.54,3,no
107,yes,no,0,66.37,296,679.7,2.7,1,no
107,yes,no,0,49.06,318,557.3000000000001,3.48,3,yes
138,no,no,0,45.61000000000001,336,493.8,4.16,1,no
103,no,no,0,53.1,271,611.6,2.62,0,no
116,no,yes,44,69.23,273,698.7,3.0,0,no
161,no,no,0,45.089999999999996,331,562.4000000000001,3.19,2,no
1,no,no,0,68.06,280,704.1,1.89,1,no
89,no,no,0,57.84,331,590.3,3.46,1,no
64,no,no,0,70.06,291,677.4,2.62,1,no
129,no,no,0,62.09,308,613.5999999999999,1.32,2,no
128,no,yes,32,68.77,317,676.3,2.92,0,no
81,no,yes,36,51.290000000000006,305,607.5,3.16,3,no
114,no,no,0,52.59,302,510.2,2.86,1,no
86,no,no,0,50.78000000000001,300,569.5999999999999,3.11,3,no
96,no,no,0,59.89,291,610.5,3.29,1,no
72,no,no,0,63.830000000000005,294,565.8,3.43,0,no
64,no,yes,40,63.080000000000005,299,611.5,1.59,8,no
65,no,no,0,57.49,386,654.5,2.3,2,no
136,no,no,0,68.35,265,668.6,2.89,2,no
116,no,no,0,58.72,342,605.8,3.24,1,no
93,no,no,0,60.6,282,679.2,1.78,3,no
142,no,yes,40,64.77000000000001,308,623.6,2.48,3,no
92,no,no,0,70.00999999999999,270,657.4,2.32,1,no
70,no,no,0,67.22,277,674.1,1.81,1,no
22,no,yes,14,55.660000000000004,294,486.59999999999997,1.13,1,no
37,no,no,0,66.97,324,654.3,3.24,2,no
51,no,no,0,58.769999999999996,327,655.0,1.89,1,no
130,no,no,0,60.96,285,601.4,3.35,1,no
104,no,no,0,50.129999999999995,299,545.9,3.05,2,no
134,no,no,0,58.300000000000004,309,600.2,2.4,2,no
108,no,yes,35,53.290000000000006,342,558.1,2.57,2,no
103,no,no,0,60.239999999999995,214,639.4,2.62,3,no
62,no,no,0,53.66,308,595.3,1.51,1,no
162,no,no,0,45.86,298,524.3,3.08,2,no
42,no,no,0,39.43,301,432.5,3.54,1,no
36,no,no,0,49.88,319,573.8,2.43,0,no
143,no,no,0,61.3,311,593.4,1.22,0,yes
197,no,no,0,51.129999999999995,299,553.6,2.86,3,no
81,no,no,0,75.0,339,748.9,2.16,1,yes
138,yes,no,0,31.259999999999998,313,400.0,2.59,4,yes
103,no,yes,18,47.73,280,492.3,3.11,0,yes
127,yes,no,0,71.73,278,720.3,3.75,2,yes
99,no,no,0,64.3,272,645.9000000000001,3.24,2,no
95,no,no,0,37.92,290,480.1,2.4,0,no
113,no,no,0,27.130000000000003,313,350.9,3.7,5,yes
128,yes,no,0,57.160000000000004,329,499.0,2.89,0,no
81,yes,no,0,68.26,338,697.0999999999999,3.21,0,no
57,no,no,0,56.81,259,586.3,3.43,1,no
140,no,no,0,51.54,273,510.4,2.21,1,no
102,no,no,0,68.32000000000001,318,612.3,2.78,1,no
107,no,no,0,43.89,344,519.9000000000001,3.89,1,no
106,no,no,0,32.629999999999995,314,384.6,3.08,2,no
225,no,no,0,60.83,308,649.1,2.35,0,yes
75,no,no,0,47.449999999999996,275,474.2,4.43,2,no
86,no,no,0,65.57,258,661.2,3.05,0,no
169,no,no,0,61.65,261,593.5,3.59,1,no
122,no,yes,22,55.870000000000005,316,549.1,2.32,2,no
106,no,no,0,63.03,371,685.3,2.59,0,no
52,no,yes,32,56.150000000000006,232,666.6999999999999,3.65,2,no
79,no,yes,34,49.269999999999996,280,596.6,4.0,2,no
135,no,no,0,65.6,313,634.2,1.59,2,no
70,no,no,0,54.75,301,567.0,2.4,0,no
80,no,no,0,52.35000000000001,257,563.0999999999999,2.7,2,no
37,no,no,0,52.81,299,527.8,3.48,0,no
161,no,yes,39,55.959999999999994,291,536.3,1.97,1,no
137,no,no,0,46.22,255,582.1,0.0,1,no
123,no,no,0,40.81,352,444.7,2.92,0,no
80,no,yes,38,66.44,239,643.6,2.57,2,no
94,no,no,0,46.449999999999996,314,592.2,4.21,0,no
105,no,yes,27,50.6,291,583.3,3.08,1,no
73,no,yes,31,58.36,298,600.5,3.11,0,no
112,no,no,0,54.28,297,603.5,4.67,2,no
179,no,no,0,62.44,300,590.1,1.65,1,no
57,no,no,0,54.34,260,604.4,2.73,1,no
127,no,yes,14,48.75,267,534.7,3.13,1,no
122,yes,yes,40,66.38,269,652.0,3.43,1,no
33,no,yes,35,48.959999999999994,298,504.1,2.3,1,no
94,no,no,0,45.36,247,496.0,2.81,3,no
100,no,no,0,55.559999999999995,371,562.4,2.75,1,no
106,no,no,0,50.22,276,519.3000000000001,2.38,2,no
148,no,yes,38,50.4,288,435.4,4.46,2,no
120,no,yes,29,76.44000000000001,312,733.4000000000001,2.86,0,no
91,no,yes,34,58.58,294,581.5,1.51,1,no
86,no,no,0,48.019999999999996,283,542.0,2.43,1,no
94,no,no,0,51.410000000000004,329,560.6,3.4,1,no
85,no,no,0,70.98,284,743.7,3.08,2,yes
89,no,no,0,36.96,227,444.2,1.94,1,no
128,no,no,0,60.0,300,596.7,3.43,1,no
115,yes,no,0,57.269999999999996,315,595.9,3.35,1,no
76,no,no,0,49.9,258,555.9,1.57,1,no
90,no,yes,29,57.06,339,557.4,3.0,2,no
30,no,no,0,45.61,314,487.3,1.57,3,no
105,yes,no,0,81.73,312,807.8,2.94,1,yes
102,no,yes,31,40.87,268,434.7,1.7,3,no
63,no,yes,49,61.07,314,583.9000000000001,2.21,0,no
155,no,no,0,52.19,304,525.9,4.08,2,no
82,no,yes,29,42.89,284,378.00000000000006,2.38,2,no
87,no,no,0,59.620000000000005,306,616.0999999999999,3.62,1,no
115,no,yes,26,57.78,343,647.7,1.22,0,no
121,yes,yes,44,67.35000000000001,364,630.5,2.35,3,no
54,no,yes,33,43.48,285,470.3,3.05,2,no
105,no,no,0,47.5,246,497.0,3.59,3,no
73,no,no,0,49.84,336,539.3,3.0,1,no
95,no,no,0,68.43,356,759.9000000000001,2.73,0,no
21,no,yes,19,46.910000000000004,273,491.99999999999994,3.48,3,no
163,no,yes,25,66.13,286,672.7,3.73,2,no
57,no,no,0,61.620000000000005,291,689.6999999999999,3.02,0,no
104,yes,no,0,66.05,266,760.9,3.4,4,no
95,no,no,0,60.669999999999995,312,600.8,1.03,3,no
74,no,no,0,57.44,208,650.5999999999999,2.05,2,no
67,no,no,0,57.57,308,625.8,2.94,0,no
104,yes,no,0,50.61,324,569.3,2.97,0,no
71,no,yes,39,56.699999999999996,323,565.0,3.21,1,no
149,no,no,0,43.78,317,492.2,3.29,4,yes
154,no,yes,35,61.739999999999995,301,579.1,2.59,0,no
117,no,no,0,58.54,297,566.5,2.59,1,no
130,no,no,0,54.35,367,539.2,3.05,1,no
73,no,no,0,63.050000000000004,370,580.0,3.0,2,no
100,no,yes,38,76.24,313,808.7,2.65,0,no
149,no,no,0,57.230000000000004,280,519.8000000000001,2.32,1,no
29,no,no,0,53.71,289,497.4,3.43,2,no
131,no,no,0,37.25,278,417.0,4.27,1,no
153,no,no,0,52.96,319,593.6,2.16,2,no
133,no,no,0,54.53,301,566.5999999999999,2.7,2,no
112,no,no,0,53.87,333,551.7,3.02,0,no
87,no,no,0,61.37,270,651.5,2.57,0,no
66,no,no,0,49.93000000000001,354,504.79999999999995,2.57,4,yes
74,no,no,0,67.44,308,682.0999999999999,2.46,2,no
116,no,no,0,49.91,238,506.7,2.62,6,yes
68,no,no,0,49.019999999999996,284,486.09999999999997,3.16,2,no
68,no,no,0,61.91,295,600.6,2.97,3,no
54,yes,no,0,65.34,246,643.5,2.73,1,no
107,no,no,0,51.61,277,619.6,1.97,3,no
124,no,no,0,53.42,253,518.0999999999999,2.84,1,no
95,no,yes,36,84.24000000000001,327,831.0,3.05,3,no
173,no,no,0,74.63,396,657.3,2.67,0,yes
110,no,no,0,56.52,270,543.3,3.65,1,no
102,no,no,0,61.97,325,681.7,2.3,0,no
130,no,no,0,35.78,335,433.20000000000005,2.81,0,no
91,no,yes,31,69.43999999999998,290,593.2,2.59,1,no
64,yes,no,0,53.78,353,473.1,4.67,1,yes
176,no,yes,23,69.96000000000001,308,623.5,1.94,1,no
93,yes,no,0,48.02,287,506.8,3.0,1,yes
84,no,yes,12,34.49,274,394.1,2.89,1,no
138,no,no,0,52.01,283,582.5,1.35,3,no
101,no,yes,28,50.349999999999994,359,618.9000000000001,2.89,1,no
136,no,no,0,45.61000000000001,267,477.8,1.62,2,no
132,no,yes,36,53.519999999999996,260,489.50000000000006,3.7,0,no
128,no,no,0,64.01,263,573.2,3.97,3,no
92,no,yes,38,64.19,348,611.9,2.4,1,no
197,yes,no,0,48.37,290,523.5,3.7,5,yes
191,no,no,0,57.51,307,613.6,2.94,1,no
99,no,yes,33,58.17,291,583.0999999999999,2.86,2,no
78,no,no,0,53.29,309,494.79999999999995,2.75,0,no
98,no,no,0,52.58,316,536.1,2.11,1,no
56,no,yes,24,48.33,261,572.3,3.43,1,no
84,no,no,0,59.5,239,713.5999999999999,3.78,2,no
95,no,no,0,56.699999999999996,262,545.0,3.7,2,no
16,no,no,0,61.3,285,627.2,2.84,5,no
76,yes,no,0,70.58,283,693.0,2.67,1,yes
93,no,no,0,53.099999999999994,266,589.8,2.75,0,no
83,no,no,0,44.400000000000006,297,463.5,2.08,2,no
123,no,no,0,56.5,247,580.7,2.43,1,no
82,no,no,0,85.8,295,805.2,2.86,0,yes
110,no,no,0,54.28,304,597.4000000000001,1.92,1,no
96,no,yes,29,49.309999999999995,221,537.5,2.3,1,no
47,no,yes,30,64.11,351,664.0,3.48,2,no
115,no,no,0,36.0,302,394.20000000000005,3.81,2,no
69,no,no,0,45.19,257,479.4,2.92,3,no
163,no,yes,40,69.5,221,712.2,3.32,2,no
98,no,no,0,36.11,320,434.5,2.84,3,no
174,no,yes,15,65.59,367,654.2,3.35,1,no
95,no,no,0,73.66,301,682.0,1.97,2,yes
79,no,no,0,73.28999999999999,313,718.4000000000001,1.7,1,yes
123,no,yes,27,62.74,356,620.9,3.38,1,no
99,no,no,0,49.65,284,588.5,3.11,7,yes
141,no,no,0,60.620000000000005,301,570.0,3.35,1,no
132,no,no,0,55.95,307,585.4,3.11,1,no
133,no,no,0,61.57,281,657.4000000000001,1.62,0,no
133,no,no,0,58.49,357,543.0999999999999,2.27,4,no
93,no,yes,32,55.63,263,526.4,2.54,2,no
34,no,no,0,81.11,236,744.4000000000001,2.97,2,yes
96,no,yes,26,55.46,285,560.4,3.0,2,no
144,no,no,0,73.21000000000001,275,639.2,3.13,1,yes
24,no,yes,29,62.2,324,556.1,1.94,3,no
54,no,no,0,68.75999999999999,386,661.0,3.16,1,no
50,no,no,0,45.24,311,498.5,1.51,5,yes
92,no,yes,23,55.68,322,542.4,3.02,4,no
96,no,no,0,63.05,188,629.4,2.84,3,no
146,no,no,0,60.59,279,670.2,2.43,2,no
138,yes,yes,17,59.580000000000005,303,544.4000000000001,3.16,0,no
76,no,no,0,47.44,251,536.1,2.03,5,yes
99,no,no,0,53.69,252,541.5999999999999,3.08,3,no
83,no,yes,36,48.83,301,586.1,3.59,0,no
36,no,yes,25,53.25000000000001,251,543.0,2.46,1,no
109,yes,no,0,71.84,300,716.9,2.62,2,yes
100,no,no,0,52.75,355,516.6,4.1,2,no
104,no,no,0,52.260000000000005,339,543.4,1.65,1,no
106,no,no,0,59.949999999999996,316,622.2,2.21,1,no
100,no,no,0,36.82,220,397.4,1.92,1,no
99,no,no,0,51.949999999999996,322,615.3000000000001,3.81,2,no
50,no,no,0,49.61,337,544.3,2.97,1,no
105,no,no,0,42.42,220,519.7,3.29,1,no
161,no,no,0,51.19,298,611.0999999999999,3.4,2,no
97,no,yes,43,52.72,320,603.6999999999999,2.24,3,no
130,no,no,0,54.92,252,634.5,0.95,0,no
92,no,no,0,61.949999999999996,300,673.2,3.73,1,no
119,no,no,0,45.81,249,488.79999999999995,4.0,0,no
115,no,no,0,74.78,340,683.5,1.86,1,yes
134,no,no,0,51.4,256,565.8,2.38,0,no
127,no,yes,25,63.8,254,718.8,1.3,0,no
80,no,no,0,78.78999999999999,407,736.7,1.57,2,yes
153,no,yes,31,53.910000000000004,338,471.6,2.54,0,no
85,no,no,0,72.39,275,726.5,1.0,3,no
79,no,no,0,35.77,274,490.8,3.08,1,no
35,no,no,0,72.19,288,650.2,1.57,1,no
120,no,yes,26,73.46000000000001,314,736.8,2.08,0,no
68,no,no,0,61.34,340,583.8,2.75,0,no
120,no,no,0,50.58,345,509.9,2.7,1,no
23,no,no,0,45.41,295,544.8,1.86,1,yes
225,no,no,0,61.82,308,647.2,2.38,1,no
181,yes,no,0,49.78,264,547.7,3.81,0,yes
63,no,no,0,52.239999999999995,314,579.7,2.03,2,no
54,yes,no,0,60.83,327,591.7,2.62,2,yes
80,yes,yes,15,47.93,312,471.09999999999997,3.21,1,no
118,yes,yes,39,41.92999999999999,320,394.90000000000003,2.48,1,no
42,yes,no,0,53.0,335,520.5999999999999,3.24,2,no
134,no,no,0,65.00999999999999,303,681.5,3.27,0,no
66,no,yes,35,64.08,301,661.6,2.4,0,no
127,no,yes,28,71.02999999999999,364,713.5999999999999,2.08,1,no
146,no,no,0,53.8,288,531.2,2.0,0,no
93,no,yes,42,59.28,291,611.1,3.11,1,no
77,no,no,0,74.05,261,738.6999999999999,2.03,0,yes
111,no,no,0,47.089999999999996,293,481.6,3.43,4,yes
125,no,no,0,50.589999999999996,281,493.70000000000005,3.13,2,no
115,no,yes,14,50.55,296,510.4,2.84,2,no
115,yes,no,0,47.55,334,521.9,2.92,2,yes
114,no,no,0,60.06,261,576.3,2.59,2,no
118,no,yes,39,44.56,337,540.4,3.43,2,no
21,no,no,0,68.55,285,694.2,1.78,1,no
142,no,yes,24,76.62,274,782.4000000000001,2.57,0,no
62,no,no,0,59.17,341,631.0999999999999,2.97,0,no
149,no,no,0,71.97,260,707.5,2.7,3,yes
54,no,yes,39,44.16,255,513.1999999999999,3.05,2,no
112,no,no,0,59.38,318,604.3,3.05,1,no
68,no,no,0,55.37,297,597.1,3.24,1,no
201,no,yes,21,58.18,303,547.2,4.08,1,no
88,no,no,0,57.830000000000005,235,528.6,2.16,1,no
85,no,yes,29,43.919999999999995,347,450.0,2.94,1,no
51,yes,no,0,55.55,285,600.7,3.81,0,yes
45,no,yes,29,52.6,297,593.9,2.13,2,no
116,no,no,0,52.75,319,595.3,2.21,0,no
146,no,yes,31,62.580000000000005,276,613.5,2.11,1,no
63,no,yes,34,53.980000000000004,313,575.0,3.32,1,no
133,no,no,0,50.019999999999996,324,414.90000000000003,1.27,0,no
125,no,no,0,59.51,346,607.4,2.48,2,no
72,no,no,0,49.67999999999999,304,530.0,2.92,1,no
130,no,no,0,49.61,308,565.5999999999999,1.65,0,no
97,no,no,0,63.28,315,707.5999999999999,1.97,1,no
54,no,no,0,76.86,288,713.5,3.11,1,yes
160,no,yes,29,55.89,360,551.1999999999999,4.1,1,no
79,no,no,0,45.58,310,492.20000000000005,3.51,1,no
92,no,yes,47,50.900000000000006,320,553.1,2.75,0,no
132,no,no,0,45.92999999999999,260,418.29999999999995,1.67,1,no
93,no,no,0,58.79,329,639.6999999999999,2.3,2,no
101,no,no,0,61.45,273,646.9,2.3,1,no
125,yes,no,0,57.37,341,611.8,2.59,0,yes
63,no,no,0,65.41,320,659.8000000000001,2.89,3,no
107,no,no,0,60.26,311,554.4,3.16,0,no
110,no,no,0,56.43,297,531.6999999999999,3.48,3,no
83,no,no,0,66.98,290,659.1,3.35,3,no
117,no,no,0,57.42999999999999,334,652.7,3.73,1,no
124,no,no,0,63.71,372,662.5,3.21,0,no
115,no,no,0,48.480000000000004,331,573.8,4.16,3,no
156,yes,no,0,71.60000000000001,321,609.6999999999999,2.24,1,no
89,no,no,0,54.209999999999994,309,525.4,1.65,0,no
72,no,no,0,57.25,393,528.1,3.54,0,no
101,no,yes,42,57.300000000000004,256,550.5,2.57,0,no
53,no,no,0,56.160000000000004,339,542.3000000000001,4.97,2,no
116,no,no,0,49.18,370,500.5,1.97,2,no
78,no,no,0,52.82,378,617.1,3.19,3,no
56,no,no,0,45.7,294,530.8,2.4,1,no
123,no,yes,39,71.7,322,624.4,4.16,1,no
127,no,no,0,49.93,294,507.6,2.38,2,no
116,no,yes,23,67.32,303,669.7,3.19,2,no
138,no,yes,26,60.08,301,610.3,4.05,1,no
120,no,no,0,61.870000000000005,277,579.1,2.11,3,no
